battery,capacity,SOC,maxTemp,tempIncreaseRate,initialVoltage,voltageRange,finalVoltageChange,voltageDrop2,voltageDrop5,voltageDropScore,OHS,CHS,chemistry
1500mAh1-100S0C,1500,100,92.857,4.030000000000216,4.14215088,4.15771484,4.08966065,0.0012207000000001855,0.0012207000000001855,3,2.0,32.01302657627938,LCO
1500mAh1-20S0C,1500,20,83.961,3.5350000000002044,3.74755859,3.7866211,3.7353515600000002,0.0018310599999997734,0.0018310599999997734,3,2.0,19.80827618038805,LCO
1500mAh1-40S0C,1500,40,92.176,3.6950000000002317,3.78570557,3.79302979,3.7606811600000003,0.0018310599999997734,0.0015258799999999795,3,2.0,23.33264855718008,LCO
1500mAh1-60S0C,1500,60,93.196,3.6749999999996836,3.85894775,3.85864258,3.81591796,0.0015258799999999795,0.0012207000000001855,3,2.0,26.253905769914063,LCO
1500mAh1-80S0C,1500,80,93.127,3.4700000000002102,3.98895264,3.96606445,3.93493653,0.0018310500000002783,0.0021362300000000722,3,2.0,29.050096334322113,LCO
1500mAh2-100S0C,1500,100,93.008,2.7899999999997966,4.13787842,4.05303956,4.006347659999999,0.0036621099999996076,0.003967289999999402,3,2.0,31.72975616002533,LCO
1500mAh2-20S0C,1500,20,72.249,2.5700000000001606,3.75183105,3.7707519599999997,3.7188720699999998,0.0015258799999999795,0.0015258799999999795,3,2.0,18.58558480131662,LCO
1500mAh2-40S0C,1500,40,81.056,3.2900000000001755,3.78509521,3.80615234,3.73687744,0.0021362300000000722,0.0021362300000000722,3,2.0,22.36387016960981,LCO
1500mAh2-60S0C,1500,60,99.382,3.9299999999996715,3.87298584,3.86047364,3.82202148,0.002441409999999866,0.0027465900000001042,3,2.0,26.76252998662408,LCO
1500mAh2-80S0C,1500,80,97.468,3.9200000000002353,3.98864746,3.97766114,3.92181396,0.0012207100000001248,0.0012207100000001248,3,2.0,29.473811557935917,LCO
1500mAh3-100S0C,1500,100,102.127,2.8450000000001747,4.14550781,4.15588379,4.08935547,0.004577629999999999,0.004577629999999999,3,2.0,32.396985237265234,LCO
1500mAh3-20S0C,1500,20,81.358,2.9900000000001827,3.75427246,3.79486084,3.7313842800000003,0.0030517500000000197,0.004882809999999793,3,2.0,19.467470063287138,LCO
